DateTime,TweetId,Text,Username,Displayname,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount
2023-06-22 18:01:03+00:00,1671941383966412801,"I spend a lot of time at the southern border. I've spent a lot of time with our border patrol agents. 

It's never been remotely this bad. 

This is an invasion &amp; our families are less safe because Joe Biden is president. https://t.co/2jHC8CxMtn",tedcruz,Ted Cruz,en,,887,256,1345,54
2023-06-22 16:47:00+00:00,1671922746547400705,"From the fully politicized DOJ's perspective, the Hunter Biden investigation is done. Democrats &amp; the press are gleefully saying they're not investigating anymore. 

They are covering up any connection to Joe Biden. 

More on the latest episode #Verdict!
https://t.co/TnryRfCj0a",tedcruz,Ted Cruz,en,['Verdict'],218,214,784,15
2023-06-22 15:39:55+00:00,1671905863638851585,"With Joe Biden as president, the brazen partisans are out in the open. 

The Biden Department of Justice is the most partisan in our nation's history. 

They are weaponizing the legal system not to enforce the law but instead to attack their political enemies. https://t.co/ccSYIyOzqI",tedcruz,Ted Cruz,en,,597,355,1492,30
2023-06-22 15:09:16+00:00,1671898152864022529,Ted Cruz pushes for confirmation vote on new CDC chief | The Spectator https://t.co/bjTvBpiuRO,tedcruz,Ted Cruz,en,,57,56,327,2
2023-06-22 14:18:39+00:00,1671885413747953664,"Our hearts are heavy today following the tragic tornado that struck Matador, Texas last night. 

Heidi and I are praying for all those impacted, especially the families of those who sadly lost loved ones in this unprecedented storm.",tedcruz,Ted Cruz,en,,162,80,678,9
2023-06-22 13:07:14+00:00,1671867439406039043,"The Hunter Biden plea deal is disgraceful if you care about the rule of law &amp; DOJ prosecuting crimes fairly &amp; evenly. 

It's all about Merrick Garland pretending to be even-handed while acting as the political henchman for Joe Biden. #Verdict 
https://t.co/TnryRfBLaC",tedcruz,Ted Cruz,en,['Verdict'],742,481,2410,37
2023-06-22 00:12:00+00:00,1671672346481139712,"There is a sense of entitlement among every political operative at the Biden White House &amp; the political cronies running the Department of Justice.

The double standard is fully baked-in. 

Get the facts on the latest episode of #Verdict! https://t.co/TnryRfCj0a",tedcruz,Ted Cruz,en,['Verdict'],210,196,893,15
2023-06-21 23:34:22+00:00,1671662875323035648,"Outrageous. 

For months we’ve seen leftists hellbent on destroying the integrity of our Supreme Court with incessant attacks, but outwardly wishing death on one of our finest Justices is truly beyond the pale.",tedcruz,Ted Cruz,en,,520,231,1539,29
2023-06-21 23:01:16+00:00,1671654545867276288,"The left's radical gender ideology is unhinged from common sense.

If you embrace this leftist ideology, the effect will be the elimination of girls' &amp; women's sports. https://t.co/QGBBP7RUwK",tedcruz,Ted Cruz,en,,124,103,666,6
2023-06-21 21:49:32+00:00,1671636494589599745,Sen Cruz leads push to reintroduce ‘Kate’s Law’ to jail repeat illegal immigrants | Fox News https://t.co/LP5bt1XmTj,tedcruz,Ted Cruz,en,,99,114,765,8
2023-06-21 20:47:00+00:00,1671620756554539009,"Before you begin your commute home, be sure to download &amp; listen to today's #Verdict where @benfergusonshow &amp; I break down the incredibly disappointing Hunter Biden plea deal. 

Catch us wherever you get your podcasts! https://t.co/TnryRfCj0a",tedcruz,Ted Cruz,en,['Verdict'],106,45,269,6
2023-06-21 19:41:00+00:00,1671604147022602240,"Joe Biden has rolled over to the Chinese Communist Party for decades. 

The entire Biden foreign policy has been to undermine our friends &amp; allies. #Verdict https://t.co/TnryRfCj0a https://t.co/w1wvWiBTWs",tedcruz,Ted Cruz,en,['Verdict'],241,256,1065,18
2023-06-21 19:25:00+00:00,1671600121996513281,"Democrats can't defend the crisis on our southern border. 

All they can do is hide from it &amp; pretend it doesn't exist! https://t.co/ulNwi60Dyg",tedcruz,Ted Cruz,en,,300,126,609,9
2023-06-21 19:20:18+00:00,1671598937331884041,"Cruz: Purpose Of Hunter Biden Plea Is To Allow The Media To Say ""It's All Over, Don't Look Into The Big Guy"" | Real Clear Politics https://t.co/fBWPTAfJwC",tedcruz,Ted Cruz,en,,330,551,2592,25
2023-06-21 17:46:00+00:00,1671575205662138372,It is really dangerous when the machinery of government becomes a weapon to attack your political opponents. https://t.co/rbp16Fw1tO,tedcruz,Ted Cruz,en,,487,127,734,22
2023-06-21 16:39:55+00:00,1671558576609845248,👇👇👇,tedcruz,Ted Cruz,art,,87,138,632,6
2023-06-21 16:30:10+00:00,1671556124145864704,Cruz: Hunter Biden Plea Deal a ‘Really Sad Day for the Rule of Law’ | Breitbart News https://t.co/iNQmZuKlSk,tedcruz,Ted Cruz,en,,468,363,2387,15
2023-06-21 16:13:27+00:00,1671551917712101376,"What did Hunter Biden get as part of his plea deal?

Zero years, months, or days in prison. 

That is a sweetheart deal because his dad is in the Oval Office. #Verdict https://t.co/3BjV1UztEK https://t.co/OdNyCUj4Tw",tedcruz,Ted Cruz,en,['Verdict'],749,590,2213,40
2023-06-21 15:37:18+00:00,1671542818479669250,"Hunter Biden plea: Ted Cruz calls it cronyism, camouflage, and corruption | Washington Examiner https://t.co/XgOS4bqUFG",tedcruz,Ted Cruz,en,,837,567,2863,42
2023-06-21 14:45:44+00:00,1671529841022189571,"After the Hunter Biden plea deal, Democrats &amp; the corporate media are saying, ""It's all wrapped up. It's Hunter's fault. He's the little scapegoat. Now be done with it.""

It is disgraceful &amp; it is not the rule of law in our country. https://t.co/5xxh4aqcL0",tedcruz,Ted Cruz,en,,388,201,991,19
2023-06-21 14:00:05+00:00,1671518354308493313,"This Department of Justice willfully does not want to examine the very direct &amp; growing evidence of Joe Biden's direct corruption. 

More on the latest episode of #Verdict available wherever you get your podcasts! https://t.co/TnryRfCj0a https://t.co/f3brd4XfBH",tedcruz,Ted Cruz,en,['Verdict'],302,220,1004,14
2023-06-21 12:42:11+00:00,1671498749510668289,"Ted Cruz puts Biden official on notice over alleged 'toxic environment' at FTC | Fox News 
https://t.co/eevv5bAzZM",tedcruz,Ted Cruz,en,,133,63,391,4
2023-06-21 12:35:05+00:00,1671496961449512963,"New episode of #Verdict is out now!

Hunter Biden Indictment: Cronyism, Camouflage &amp; Corruption

Tune in wherever you get your podcasts!

https://t.co/3BjV1UyVPc",tedcruz,Ted Cruz,en,['Verdict'],100,60,326,2
2023-06-21 04:50:51+00:00,1671380134232829952,I’d like to call a life line….,tedcruz,Ted Cruz,en,,85,21,228,1
2023-06-21 03:51:09+00:00,1671365110135128064,"Against. 

Now your turn, schmuck. 

@paulwaldman1 should @joebiden have eulogized an “exalted cyclops” of the KKK, just 13 yrs ago? Yes or no?

And if yes, pls explain why, in detail.",tedcruz,Ted Cruz,en,,212,248,1679,17
2023-06-21 00:29:26+00:00,1671314348927594496,"Hunter Biden's indictment is just the Biden DOJ pretending to be even-handed. 

The evidence of corruption involving Joe Biden personally making millions of dollars is growing, but the Biden DOJ is doing everything it can to cover it up, stonewall, &amp; hide. https://t.co/St81TjrHP8",tedcruz,Ted Cruz,en,,1184,537,1839,62
2023-06-20 23:34:30+00:00,1671300523922796546,"Sadly, this is EXACTLY what I predicted months ago on Verdict:

- a slap on the wrist for Hunter (no jail time) so Garland can pretend to be “balanced,” indicting both a Trump & a Biden.

- ZERO examination of foreign corruption between Joe & Hunter—designed to shield WH. 

LISTEN to my prediction:",tedcruz,Ted Cruz,en,,1661,1552,7077,102
2023-06-20 19:59:08+00:00,1671246325550120960,"The angels are weeping today, and so am I. Kaye Goolsby, a giant of Texas grassroots and a dear friend of mine for two decades, has gone home to be with the Lord. 

Kaye was my National Grassroots Chair, a legend in @tfrw & @nfrw and an extraordinary person whom I loved dearly. She would be on three cellphones all at once, greeting everyone with her trademark, “Hello Sugarrrr….” And you had to tell her yes, or she’d wear you down until you did!

Her spirit was indomitable & right now I’m sure she’s organizing and rearranging Heaven as we speak. 

I will miss her deeply. My prayers are with Gary & her beloved family. 

Kaye, we love you.",tedcruz,Ted Cruz,en,,95,55,584,5
2023-06-20 17:07:16+00:00,1671203073371299840,"🤣🤣Have to admit, the funniest part of this is all the left-wingers who were TRIGGERED at my mentioning Pat Benatar.

They don’t dispute that Dems don’t care at all what crimes Biden committed, even if he were to taunt them with “Hit me with your best shot….” 🎶🎶 at midnight under a full moon!",tedcruz,Ted Cruz,en,,371,149,911,17
2023-06-20 16:56:41+00:00,1671200407794724881,"WaPo hack continues to deceive with his “the parties switched places” fiction.

Tell me, @paulwaldman1 is @joebiden the past or ancient history?

The CURRENT Dem President is who gave a eulogy for a KKK “Exalted Cyclops.”

Is VA Gov Ralph Northam the distant past? The Dem gov of VA just TWO YEARS ago had a Klansman on his personal yearbook page. 

Disgraceful.",tedcruz,Ted Cruz,en,,169,100,697,11
2023-06-20 16:08:45+00:00,1671188345496412161,"Honored to attend today’s inauguration of my friend Dallas Mayor ⁦@Johnson4Dallas⁩ 

Eric has shown real courage standing up for men &amp; women of law enforcement &amp; the people of Dallas are safer as a result. 

Also a member of FJEC, which advises me &amp; Cornyn on judicial noms. https://t.co/hN6j4AUwYd",tedcruz,Ted Cruz,en,,61,37,246,4
2023-06-20 15:59:22+00:00,1671185985462206465,Predicted this four months ago 👇,tedcruz,Ted Cruz,en,,963,519,2422,39
2023-06-20 02:42:21+00:00,1670985409348661248,"WaPo hack deliberately lies for partisan ends.

@paulwaldman1 A few Qs:
Which party were the founders of the KKK? 

Democrats.

Which party wrote Jim Crow laws? 

Dems.

Which party was Lincoln? 

Republican.

Oh yeah, which president eulogized a KKK “Exalted Cyclops”?

@JoeBiden",tedcruz,Ted Cruz,en,,759,443,1804,49
2023-06-19 22:37:58+00:00,1670923906012659712,"Political decisions from the Biden White House produced the humanitarian crisis on our southern border &amp; it’s hurting our communities right here in Texas. 

Every American should be horrified at the state of affairs. #Verdict 

https://t.co/ZreMLytton",tedcruz,Ted Cruz,en,['Verdict'],383,259,1269,27
2023-06-19 15:52:30+00:00,1670821869832876032,"Senate Democrats are trying to protect the Biden administration from accountability &amp; consequences for its failures on our southern border. #Verdict
https://t.co/ZreMLytton",tedcruz,Ted Cruz,en,['Verdict'],601,356,1391,28
2023-06-19 13:39:59+00:00,1670788521571786758,"As we commemorate Juneteenth, we recognize & reflect on the blessing of freedom. 

Together, we celebrate the anniversary of Major General Gordon Granger’s arrival in Galveston, Texas, where he brought news of the emancipation of the enslaved.

Today is a joyful reminder of our nation’s progress in advancing the principles of liberty & equality for all.",tedcruz,Ted Cruz,en,,385,87,846,29
2023-06-18 19:44:09+00:00,1670517778820857856,"Joe Biden's political decision to open our borders has enabled the cartels to savage countless men, women, &amp; children.

He’s turned these vicious murderers into billion-dollar corporations. 
#Verdict
https://t.co/ZreMLytton",tedcruz,Ted Cruz,en,['Verdict'],1388,1167,4320,85
2023-06-18 17:47:07+00:00,1670488323456917504,"On the latest episode of #Verdict, @benfergusonshow and I drill down on the allegations against Joe Biden.

We take him up on his invitation to answer, “Where’s the money?”
https://t.co/ZreMLytton",tedcruz,Ted Cruz,en,['Verdict'],360,134,790,19
2023-06-18 14:43:06+00:00,1670442016554008576,"My dad, Rafael, is my hero.
 
He fled Cuba after being imprisoned and suffering beatings at the hands of Batista’s thugs.
 
He came to America with $100 sewn into his underwear and didn’t speak a lick of English.
 
From there, he enrolled at the University of Texas and worked as a dishwasher making 50 cents an hour to pay his way through school.
 
My Dad has been blessed to be the embodiment of the American dream.
 
Happy Father’s Day to all the dads across Texas and the United States!",tedcruz,Ted Cruz,en,,4661,746,14213,339
2023-06-18 03:01:25+00:00,1670265431427358721,Senator Ted Cruz tours Perryton two days after deadly tornado https://t.co/SJbERfU090,tedcruz,Ted Cruz,en,,705,233,1846,39
2023-06-17 21:37:26+00:00,1670183896267235334,"When tragedy strikes, communities like Perryton come together to help their neighbors in need. 

I’m grateful for Perryton Mayor Kerry Symons’ leadership in the midst of this difficult time. #PrayForPerryton https://t.co/WT8w2l52GP",tedcruz,Ted Cruz,en,['PrayForPerryton'],220,57,529,10
2023-06-17 21:27:38+00:00,1670181431748722690,"Inspired by the resilience of the men &amp; women of Perryton, Texas in the wake of this tragic tornado. 

Perryton will come through this even stronger than ever thanks to the help of Texans helping Texans! https://t.co/MeEj9aeOhA",tedcruz,Ted Cruz,en,,191,81,708,9
2023-06-17 20:49:28+00:00,1670171828738768898,"‘Texas stands with you’: Gov. Abbott, Ted Cruz address deadly Perryton tornado | KCBD https://t.co/zm167PAcWm",tedcruz,Ted Cruz,en,,184,86,750,11
2023-06-17 20:36:33+00:00,1670168578316705795,"Texans are united with the people of Perryton. 

If you want to help, be sure to donate to the Red Cross or Salvation Army and make clear you want your donation marked for the people of Perryton, Texas. #PrayForPerryton https://t.co/rpwpOKQr8Z",tedcruz,Ted Cruz,en,['PrayForPerryton'],536,210,1049,32
2023-06-17 19:47:20+00:00,1670156191694045185,"Thank you to @TysonFoods for helping feed families impacted by the devastating tornado in Perryton, Texas. 

It’s inspirational to see Texans come together to help their neighbors out. Perryton is strong! #PrayforPerryton https://t.co/Lj2OrlmLtl",tedcruz,Ted Cruz,en,['PrayforPerryton'],422,196,1280,23
2023-06-17 15:59:53+00:00,1670098951754723328,"I believe Democrats want open borders because they think most illegal immigrants will be Democrat voters. 

They care more about their political, partisan objective than the lives of the children being brutalized by their heartless policies. #Verdict https://t.co/jKjIN10p4o",tedcruz,Ted Cruz,en,['Verdict'],2227,808,4350,143
2023-06-17 13:30:05+00:00,1670061251823558660,"The legacy corporate media has abandoned any pretense of journalism.

They've ignored the serious allegations against Joe Biden altogether. #Verdict 

https://t.co/ZreMLytton",tedcruz,Ted Cruz,en,['Verdict'],709,483,1868,47
2023-06-17 01:43:00+00:00,1669883307931357184,"Don't forget to catch the latest episode of #Verdict, where we follow the money &amp; examine what every prosecutor, reporter, or anyone interested in the truth should be asking—did Joe Biden take a bribe? 

Tune in wherever you get your podcasts! https://t.co/jKjIN10WTW https://t.co/ZrwX8vSEDf",tedcruz,Ted Cruz,en,['Verdict'],649,412,1791,39
2023-06-17 01:21:35+00:00,1669877921199079424,Episode available now wherever you get your podcasts! https://t.co/jKjIN10p4o,tedcruz,Ted Cruz,en,,28,25,224,0
2023-06-17 01:21:35+00:00,1669877919458394112,"Joe Biden said, ""Where's the money?""

On the latest episode of #Verdict, @Benfergusonshow &amp; I try to answer that very question with a blast from the past from our friends at the @FDRLST!
https://t.co/Gk1aczsy9h",tedcruz,Ted Cruz,en,['Verdict'],303,252,1283,18
2023-06-17 00:42:13+00:00,1669868014525726720,"By passing my bipartisan bill to rename the street outside of the Cuban embassy in D.C. after Cuban dissident Oswaldo Payá, the Senate is shining a light on that evil, repressive regime. 

Learn more on the latest episode of #Verdict https://t.co/jKjIN10p4o https://t.co/Tgb7dd0WOf",tedcruz,Ted Cruz,en,['Verdict'],158,145,745,10
2023-06-16 23:42:00+00:00,1669852857313673217,"The corporate media &amp; Dem politicians are on the same team reading from the same talking points. 

When they say no one's above the law, they mean that as an attack on Donald Trump, but you know who they don't mean?

 They don't mean Joe Biden. #Verdict https://t.co/jKjIN10WTW",tedcruz,Ted Cruz,en,['Verdict'],331,222,1046,19
2023-06-16 22:37:03+00:00,1669836511317983233,"Totally bizarre.

I'm sure Joe Biden's handlers won't cynically use this incident as a pretext to shield him from any questions on the serious allegations of corruption he's laughed off...",tedcruz,Ted Cruz,en,,767,428,2469,37
2023-06-16 21:44:30+00:00,1669823289181577216,"Joe Biden was the vice president of the United States. He doesn't know anything about business. 

Why on earth does he need 20 shell companies if it's not to hide &amp; shield the income? 

Tune into the latest episode of #Verdict for more! https://t.co/jKjIN10p4o",tedcruz,Ted Cruz,en,['Verdict'],1232,1879,7692,95
2023-06-16 20:46:08+00:00,1669808599252516864,Ted Cruz Sounds the Alarm: Congress Too Antiquated to Stop China | Newsbusters https://t.co/EPP4U45t01,tedcruz,Ted Cruz,en,,170,171,964,13
2023-06-16 19:02:41+00:00,1669782568005148681,Ted Cruz Demands Joe Biden Disclose ‘Mystery Source’ Who Paid Him $10M in 2017 | Breitbart News https://t.co/dT2tgOOJID,tedcruz,Ted Cruz,en,,2814,2765,12040,181
